case_id,Re_ch,u_ch_m_s,alpha,fD_Re,dp_cfd_Pa,dp_SL_Tin_Pa,ratio_Tin,T_bulk_mean_K,dp_SL_Tbulk_Pa,ratio_Tbulk,T_film_K,dp_SL_Tfilm_Pa,ratio_Tfilm,accepted
C001,2,0.0024401068266758814,0.023779724655819772,93.00955949424286,7.85899999999674,16.329135176990526,0.48128697048640395,314.9095365,10.08784300544751,0.7790565332700778,318.38966875,8.82140777270722,0.8909008859461074,True
C002,5,0.006100267066689704,0.023779724655819772,93.00955949424286,32.046000000002095,40.82283794247631,0.7850017689891695,304.83592699999997,34.527501615609694,0.9281297082182823,306.3738415,33.09270773935652,0.9683704413794585,True
C003,10,0.012200534133379407,0.023779724655819772,93.00955949424286,71.278999999995,81.64567588495262,0.8730284761244996,301.48081249999996,75.34976089043236,0.9459751319402758,302.68941874999996,73.07676645979225,0.9753989325624252,True
C004,20,0.024401068266758814,0.023779724655819772,93.00955949424286,149.46400000000722,163.29135176990525,0.9153209792188981,299.79860599999995,157.04730425123788,0.9517132478816752,300.89967249999995,152.889758705734,0.9775932754768727,True
C005,40,0.04880213653351763,0.023779724655819772,93.00955949424286,306.5040000000008,326.5827035398105,0.9385187784834352,298.95719199999996,320.46256744549186,0.9564424401989936,299.972483,312.7801613444033,0.9799342729493262,True
C006,70,0.08540373893365585,0.023779724655819772,93.00955949424286,543.9170000000013,571.5197311946683,0.9517029252219026,298.59994,565.5473339172028,0.961753274005588,299.5229055,553.3147292827991,0.9830155808521868,True
C007,100,0.12200534133379408,0.023779724655819772,93.00955949424286,783.1420000000071,816.4567588495263,0.9591959298659452,298.4597715,810.5817991316343,0.9661480196557299,299.31335175,794.4141020388056,0.9858107981594618,True
C008,150,0.1830080120006911,0.023779724655819772,93.00955949424286,1185.0890000000072,1224.6851382742896,0.9676683116036849,298.353139,1218.9055185700013,0.9722566531574433,299.123553,1197.0096641179375,0.9900412966784905,True
C009,250,0.3050133533344852,0.023779724655819772,93.00955949424286,1999.2859999999928,2041.1418971238159,0.9794938817419786,298.2701105,2035.4458236090363,0.9822349368430112,298.93708975,2003.8428124761888,0.997725963110567,True
