basis,fluid,Q_full_sink_LPM,m_full_kg_s,Re_ch,Pr_inlet,Phi_in,R_th_K_W,dp_sink_Pa,W_pump_W
matched Re_ch,FC-40,43.99562646086382,1.36019799396,150.0,67.54263703321114,0.1606008052483462,0.0177221457142857,746.2670000000071,0.5472080695344962
matched Re_ch,EFL-1,53.401039864425776,1.6812404505,150.0,94.96636408243374,0.1617812382988461,0.0171153285714285,1153.7639999999956,1.0268699559689851
matched Q_full_sink_LPM,FC-40 (interpolated),53.401039864425776,1.6509810406246803,182.06709675538502,67.54263703321111,0.15536723728610208,0.017282117297211876,934.6027774762922,0.8318126696235758
matched Q_full_sink_LPM,EFL-1,53.401039864425776,1.6812404505,150.0,94.96636408243374,0.1617812382988461,0.0171153285714285,1153.7639999999956,1.0268699559689851
matched W_pump_W,FC-40 (interpolated),58.867533172773356,1.8199861474295336,200.70472195164248,67.54263703321111,0.15279935656540183,0.017064911725325007,1046.62441310918,1.0268699559689851
matched W_pump_W,EFL-1,53.401039864425776,1.6812404505,150.0,94.96636408243374,0.1617812382988461,0.0171153285714285,1153.7639999999956,1.0268699559689851
