OR,Re_label,Q_LPM,Rth_field,Rth_sealed,c_rth,c_T,dp_field,Wpump_W,passed_validity_envelope,feasible
0.0,2,0.6501092434627032,0.0609845814285714,0.0609845814285714,1.0,67.68920700000002,7.85899999999674,8.515347573952108e-05,y,True
0.0,5,1.6252731086567578,0.03546603,0.03546603,1.0,49.82622100000005,32.046000000002095,0.0008680583673336311,y,True
0.0,10,3.250546217313516,0.0268399585714286,0.0268399585714286,1.0,43.78797100000004,71.278999999995,0.0038615947303978974,y,True
0.0,20,6.501092434627031,0.0222010585714286,0.0222010585714286,1.0,40.54074100000004,149.46400000000722,0.016194654660819024,y,True
0.0,40,13.002184869254062,0.0195787528571428,0.0195787528571428,1.0,38.70512700000002,306.5040000000008,0.06642036118609763,y,True
0.0,70,22.75382352119461,0.01818386,0.01818386,1.0,37.72870200000001,543.9170000000013,0.20626985713629398,y,True
0.0,100,32.505462173135165,0.0174499971428572,0.0174499971428572,1.0,37.21499800000005,783.1420000000071,0.42427321095322745,y,True
0.0,150,48.75819325970274,0.01669816,0.01669816,1.0,36.68871200000002,1185.0890000000072,0.9630466415324702,y,True
0.0,250,81.26365543283791,0.0158417714285714,0.0158417714285714,1.0,36.08924000000003,1999.2859999999928,2.7078214769282694,y,True
0.1,2,0.5866083528115175,0.1058206185714285,0.0609845814285714,1.7352028347586779,99.074433,1.9290000000037253,1.8859458542926706e-05,n,False
0.1,5,1.4665208820287936,0.0598262971428572,0.03546603,1.6868619674335468,66.87840800000005,7.88300000000163,0.0001926764018839228,y,False
0.1,10,2.933041764057587,0.04314195,0.0268399585714286,1.607377667338318,55.199365000000014,21.39699999999721,0.0010459715770922001,y,False
0.1,20,5.866083528115174,0.0302723128571429,0.0222010585714286,1.3635526774431157,46.19061900000004,56.12600000000384,0.005487330068316913,y,False
0.1,40,11.732167056230349,0.0230677428571428,0.0195787528571428,1.1782028725454357,41.147420000000025,143.29700000000594,0.028019739044278496,y,False
0.1,70,20.531292348403117,0.02005339,0.01818386,1.1028126041445547,39.03737300000002,294.903999999995,0.10091267064522283,y,False
0.1,100,29.33041764057587,0.0188190971428572,0.0174499971428572,1.0784584655683118,38.17336800000005,458.7060000000056,0.22423397590396932,y,True
0.1,150,43.99562646086382,0.0177221457142857,0.01669816,1.0613232664129282,37.40550200000003,746.2670000000071,0.5472080695344962,y,True
0.1,250,73.32604410143968,0.0165853914285714,0.0158417714285714,1.0469404575967334,36.60977400000003,1350.7719999999972,1.650779454049828,y,True
0.2,2,0.5231074621603317,0.2532826542857143,0.0609845814285714,4.15322444382722,202.297858,0.4290000000037253,3.74021835447885e-06,n,False
0.2,5,1.3077686554008292,0.12602452,0.03546603,3.5533867196300233,113.21716400000004,1.3830000000016298,3.0144067507024637e-05,n,False
0.2,10,2.6155373108016584,0.0831439242857143,0.0268399585714286,3.097766491123493,83.20074700000005,3.9089999999996503,0.0001704022557987128,n,False
0.2,20,5.231074621603317,0.0569277071428571,0.0222010585714286,2.564188863323822,64.84939500000003,13.813999999998488,0.0012043677470470052,y,False
0.2,40,10.462149243206634,0.03542747,0.0195787528571428,1.8094855304879753,49.79922900000004,48.14800000000105,0.0083955260293654,y,False
0.2,70,18.308761175611608,0.02524243,0.01818386,1.3881777576378174,42.669701000000046,124.27700000000186,0.0379226318770253,y,False
0.2,100,26.155373108016583,0.0218476128571429,0.0174499971428572,1.2520124031129585,40.29332900000004,218.68499999999767,0.09532979613544243,y,False
0.2,150,39.23305966202488,0.0195787728571429,0.01669816,1.1725107950302847,38.70514100000004,400.00199999999313,0.26155503884881676,y,False
0.2,250,65.38843277004146,0.0177720657142857,0.0158417714285714,1.1218483863637194,37.44044600000002,811.75,0.8846510050180193,y,False
0.3,2,0.4596065715091458,0.4321387585714286,0.0609845814285714,7.086033034064094,327.497131,0.1429999999963911,1.095395662069153e-06,n,False
0.3,5,1.1490164287728644,0.2185354785714285,0.03546603,6.161825233087224,177.97483499999998,0.44100000000617,8.44527075159871e-06,n,False
0.3,10,2.2980328575457287,0.1343365914285714,0.0268399585714286,5.005096824984448,119.03561400000002,1.2639999999955762,4.841189219879392e-05,n,False
0.3,20,4.5960657150914574,0.0924766085714286,0.0222010585714286,4.165414377602711,89.73362600000003,4.005999999993946,0.00030686398757714256,n,False
0.3,40,9.192131430182917,0.0617807157142857,0.0195787528571428,3.155498011802453,68.24650100000004,16.062999999994645,0.0024608867860496492,y,False
0.3,70,16.086230002820106,0.0402982642857143,0.01818386,2.2161556614335076,53.20878500000005,47.35000000000582,0.012694716510560426,y,False
0.3,100,22.98032857545729,0.0304007828571428,0.0174499971428572,1.7421654919632314,46.28054800000002,91.8289999999979,0.03517100987926032,y,False
0.3,150,34.47049286318594,0.0237831871428571,0.01669816,1.424299871534175,41.64823100000002,188.349000000002,0.10820804767147128,y,False
0.3,250,57.45082143864322,0.01981733,0.0158417714285714,1.2509541681846568,38.87213100000004,436.99899999999616,0.41843252529775715,y,False
0.4,2,0.3961056808579599,0.6008514557142858,0.0609845814285714,9.852514219812054,445.596019,0.0599999999976716,3.9610568084258837e-07,n,False
0.4,5,0.9902642021448996,0.3548107185714286,0.03546603,10.004241201268611,273.367503,0.1790000000037253,2.9542882031271006e-06,n,False
0.4,10,1.9805284042897997,0.2006545985714285,0.0268399585714286,7.475965286512301,165.458219,0.4820000000036089,1.5910244847913847e-05,n,False
0.4,20,3.961056808579599,0.12820013,0.0222010585714286,5.774505282598808,114.74009100000002,1.4809999999997672,9.77720855584244e-05,n,False
0.4,40,7.922113617159198,0.0905483385714286,0.0195787528571428,4.624826679825747,88.38383700000004,4.945999999996275,0.0006530462325073313,n,False
0.4,70,13.8636988300286,0.0685638514285714,0.01818386,3.7705883914950618,72.99469600000005,18.273000000001048,0.004222189478685452,y,False
0.4,100,19.805284042898,0.0522441757142857,0.0174499971428572,2.993936061225705,61.57092300000001,36.87799999999697,0.012172987748898873,y,False
0.4,150,29.707926064347,0.03656464,0.01669816,2.189740666037456,50.59524800000004,80.64900000000489,0.03993190881939444,y,False
0.4,250,49.513210107244994,0.02483516,0.0158417714285714,1.567700942535289,42.38461200000002,208.15600000000268,0.17177452938473037,y,False
0.5,2,0.3326047902067742,0.7093300485714287,0.0609845814285714,11.631301420052154,521.5310340000001,0.0299999999988358,1.6630239509693345e-07,n,False
0.5,5,0.8315119755169355,0.4676099785714285,0.03546603,13.184728557761566,352.326985,0.0850000000064028,1.1779752987377254e-06,n,False
0.5,10,1.663023951033871,0.3005953,0.0268399585714286,11.199544112560094,235.41671,0.2069999999948777,5.73743263092488e-06,n,False
0.5,20,3.326047902067742,0.1903216614285714,0.0222010585714286,8.572639039541281,158.225163,0.6239999999961583,3.4590898181291555e-05,n,False
