# Region type : patch inlet
# Faces        : 3300
# Area         : 6.2230000e-03
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
25             	1.4772197e-04
50             	1.2089489e-04
75             	1.1299106e-04
100            	1.0904472e-04
125            	1.0692730e-04
150            	1.0589861e-04
175            	1.0548412e-04
200            	1.0533742e-04
225            	1.0536203e-04
250            	1.0562326e-04
275            	1.0593211e-04
300            	1.0608062e-04
325            	1.0613690e-04
350            	1.0616368e-04
