case_id,campaign_group,fluid,topology,open_ratio,reynolds_number,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample,holdout_category,raw_data_location
DOE_Case_024,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.2,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_024
DOE_Case_025,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.2,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_025
DOE_Case_026,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.2,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_026
DOE_Case_027,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.2,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_027
DOE_Case_028,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.3,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_028
DOE_Case_029,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.3,50,700.0,2,1400.0,25.0,0.001398,0.522,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_029
DOE_Case_030,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.3,100,700.0,2,1400.0,25.0,0.002796,1.044,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_030
DOE_Case_031,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.3,150,700.0,2,1400.0,25.0,0.004194,1.566,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_031
DOE_Case_032,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.3,250,700.0,2,1400.0,25.0,0.006991,2.61,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_032
DOE_Case_033,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.3,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_033
DOE_Case_034,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.3,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_034
DOE_Case_035,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.3,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_035
DOE_Case_036,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.3,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_036
DOE_Case_037,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.4,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_037
DOE_Case_038,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.4,50,700.0,2,1400.0,25.0,0.001398,0.522,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_038
DOE_Case_039,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.4,100,700.0,2,1400.0,25.0,0.002796,1.044,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_039
DOE_Case_040,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.4,150,700.0,2,1400.0,25.0,0.004194,1.566,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_040
DOE_Case_041,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.4,250,700.0,2,1400.0,25.0,0.006991,2.61,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_041
DOE_Case_042,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.4,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_042
DOE_Case_043,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.4,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_043
