case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample
DOE_Case_021,Baseline_OpenRatio_Reynolds,0.2,100,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_022,Baseline_OpenRatio_Reynolds,0.2,150,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004194,1.566,False
DOE_Case_023,Baseline_OpenRatio_Reynolds,0.2,250,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.006991,2.61,False
DOE_Case_024,Baseline_OpenRatio_Reynolds,0.2,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,False
DOE_Case_025,Baseline_OpenRatio_Reynolds,0.2,500,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_026,Baseline_OpenRatio_Reynolds,0.2,750,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.020972,7.83,False
DOE_Case_027,Baseline_OpenRatio_Reynolds,0.2,1000,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.027962,10.441,False
DOE_Case_028,Baseline_OpenRatio_Reynolds,0.3,25,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.000699,0.261,False
DOE_Case_029,Baseline_OpenRatio_Reynolds,0.3,50,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.001398,0.522,False
DOE_Case_030,Baseline_OpenRatio_Reynolds,0.3,100,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_031,Baseline_OpenRatio_Reynolds,0.3,150,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004194,1.566,False
DOE_Case_032,Baseline_OpenRatio_Reynolds,0.3,250,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.006991,2.61,False
DOE_Case_033,Baseline_OpenRatio_Reynolds,0.3,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,False
