case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample
DOE_Case_185,Topology_Sensitivity,0.9,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_186,Topology_Sensitivity,1.0,100,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_187,Topology_Sensitivity,1.0,500,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_188,Topology_Sensitivity,0.0,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_189,Topology_Sensitivity,0.0,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_190,Topology_Sensitivity,0.1,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_191,Topology_Sensitivity,0.1,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_192,Topology_Sensitivity,0.2,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_193,Topology_Sensitivity,0.2,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_194,Topology_Sensitivity,0.3,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_195,Topology_Sensitivity,0.3,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_196,Topology_Sensitivity,0.4,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_197,Topology_Sensitivity,0.4,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_198,Topology_Sensitivity,0.5,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_199,Topology_Sensitivity,0.5,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_200,Topology_Sensitivity,0.6,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_201,Topology_Sensitivity,0.6,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_202,Topology_Sensitivity,0.7,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_203,Topology_Sensitivity,0.7,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_204,Topology_Sensitivity,0.8,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_205,Topology_Sensitivity,0.8,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_206,Topology_Sensitivity,0.9,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_207,Topology_Sensitivity,0.9,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_208,Topology_Sensitivity,1.0,100,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_209,Topology_Sensitivity,1.0,500,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_210,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,300.0,2,600.0,25.0,0.006991,2.61,False
DOE_Case_211,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,300.0,2,600.0,25.0,0.006991,2.61,False
DOE_Case_212,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,300.0,2,600.0,25.0,0.006991,2.61,False
DOE_Case_213,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,300.0,2,600.0,25.0,0.006991,2.61,False
DOE_Case_214,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,300.0,2,600.0,25.0,0.006991,2.61,False
DOE_Case_215,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,500.0,2,1000.0,25.0,0.006991,2.61,False
DOE_Case_216,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,500.0,2,1000.0,25.0,0.006991,2.61,False
DOE_Case_217,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,500.0,2,1000.0,25.0,0.006991,2.61,False
DOE_Case_218,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,500.0,2,1000.0,25.0,0.006991,2.61,False
DOE_Case_219,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,500.0,2,1000.0,25.0,0.006991,2.61,False
DOE_Case_220,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,850.0,2,1700.0,25.0,0.006991,2.61,False
DOE_Case_221,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,850.0,2,1700.0,25.0,0.006991,2.61,False
DOE_Case_222,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,850.0,2,1700.0,25.0,0.006991,2.61,False
DOE_Case_223,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,850.0,2,1700.0,25.0,0.006991,2.61,False
DOE_Case_224,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,850.0,2,1700.0,25.0,0.006991,2.61,False
DOE_Case_225,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,1000.0,2,2000.0,25.0,0.006991,2.61,False
DOE_Case_226,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,1000.0,2,2000.0,25.0,0.006991,2.61,False
DOE_Case_227,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,1000.0,2,2000.0,25.0,0.006991,2.61,False
DOE_Case_228,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,1000.0,2,2000.0,25.0,0.006991,2.61,False
DOE_Case_229,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,1000.0,2,2000.0,25.0,0.006991,2.61,False
DOE_Case_230,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,1200.0,2,2400.0,25.0,0.006991,2.61,False
DOE_Case_231,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,1200.0,2,2400.0,25.0,0.006991,2.61,False
DOE_Case_232,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,1200.0,2,2400.0,25.0,0.006991,2.61,False
DOE_Case_233,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,1200.0,2,2400.0,25.0,0.006991,2.61,False
DOE_Case_234,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,1200.0,2,2400.0,25.0,0.006991,2.61,False
DOE_Case_235,OutOfSample_Validation,0.15,75,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002097,0.783,True
DOE_Case_236,OutOfSample_Validation,0.35,175,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004893,1.827,True
DOE_Case_237,OutOfSample_Validation,0.65,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,True
DOE_Case_238,OutOfSample_Validation,0.85,600,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.016777,6.264,True
DOE_Case_239,OutOfSample_Validation,0.25,125,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.033089,12.355,True
DOE_Case_240,OutOfSample_Validation,0.75,400,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.105884,39.535,True
DOE_Case_241,OutOfSample_Validation,0.15,150,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.00326,1.217,True
DOE_Case_242,OutOfSample_Validation,0.65,500,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.010866,4.057,True
DOE_Case_243,OutOfSample_Validation,0.35,200,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.005592,2.088,True
DOE_Case_244,OutOfSample_Validation,0.75,350,FC-40,Micro-Pin-Fin,700.0,2,1400.0,25.0,0.009787,3.654,True
DOE_Case_245,OutOfSample_Validation,0.25,200,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.005592,2.088,True
DOE_Case_246,OutOfSample_Validation,0.85,450,FC-40,Oblique-Fin,700.0,2,1400.0,25.0,0.012583,4.698,True
DOE_Case_247,OutOfSample_Validation,0.5,300,FC-40,Plate-Fin,400.0,2,800.0,25.0,0.008389,3.132,True
DOE_Case_248,OutOfSample_Validation,0.5,300,FC-40,Plate-Fin,600.0,2,1200.0,25.0,0.008389,3.132,True
DOE_Case_249,OutOfSample_Validation,0.5,300,FC-40,Plate-Fin,800.0,2,1600.0,25.0,0.008389,3.132,True
DOE_Case_250,OutOfSample_Validation,0.5,300,FC-40,Plate-Fin,950.0,2,1900.0,25.0,0.008389,3.132,True
