case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_031,Baseline_OpenRatio_Reynolds,0.3,150,FC-40,Plate-Fin,700.0,1.566,37.11,0.2663,232.03,0.047,5.14,1e-06,37551.1,COMPLETED_CONVERGED
DOE_Case_032,Baseline_OpenRatio_Reynolds,0.3,250,FC-40,Plate-Fin,700.0,2.61,39.74,0.23885,204.56,0.101,5.8,4e-06,41867.0,COMPLETED_CONVERGED
DOE_Case_033,Baseline_OpenRatio_Reynolds,0.3,350,FC-40,Plate-Fin,700.0,3.654,41.47,0.22021,187.98,0.172,6.36,1.1e-05,45411.2,COMPLETED_CONVERGED
DOE_Case_034,Baseline_OpenRatio_Reynolds,0.3,500,FC-40,Plate-Fin,700.0,5.22,43.3,0.20071,171.68,0.313,7.06,2.7e-05,49822.2,COMPLETED_CONVERGED
DOE_Case_035,Baseline_OpenRatio_Reynolds,0.3,750,FC-40,Plate-Fin,700.0,7.83,45.38,0.17962,154.86,0.636,8.03,8.3e-05,55673.5,COMPLETED_CONVERGED
DOE_Case_036,Baseline_OpenRatio_Reynolds,0.3,1000,FC-40,Plate-Fin,700.0,10.441,46.86,0.16568,144.07,1.07,8.83,0.000186,32427.8,COMPLETED_CONVERGED
DOE_Case_037,Baseline_OpenRatio_Reynolds,0.4,25,FC-40,Plate-Fin,700.0,0.261,36.47,0.33714,384.69,0.005,3.97,0.0,29661.6,COMPLETED_CONVERGED
DOE_Case_038,Baseline_OpenRatio_Reynolds,0.4,50,FC-40,Plate-Fin,700.0,0.522,36.47,0.3171,308.82,0.01,4.24,0.0,31536.1,COMPLETED_CONVERGED
DOE_Case_039,Baseline_OpenRatio_Reynolds,0.4,100,FC-40,Plate-Fin,700.0,1.044,40.6,0.29064,259.37,0.024,4.67,0.0,34406.4,COMPLETED_CONVERGED
DOE_Case_040,Baseline_OpenRatio_Reynolds,0.4,150,FC-40,Plate-Fin,700.0,1.566,43.01,0.27177,235.86,0.042,5.02,1e-06,36795.2,COMPLETED_CONVERGED
DOE_Case_041,Baseline_OpenRatio_Reynolds,0.4,250,FC-40,Plate-Fin,700.0,2.61,46.06,0.2455,209.22,0.09,5.63,4e-06,40732.8,COMPLETED_CONVERGED
DOE_Case_042,Baseline_OpenRatio_Reynolds,0.4,350,FC-40,Plate-Fin,700.0,3.654,48.06,0.22747,193.06,0.154,6.13,9e-06,43962.3,COMPLETED_CONVERGED
DOE_Case_043,Baseline_OpenRatio_Reynolds,0.4,500,FC-40,Plate-Fin,700.0,5.22,50.18,0.20842,177.08,0.28,6.77,2.4e-05,47980.8,COMPLETED_CONVERGED
DOE_Case_044,Baseline_OpenRatio_Reynolds,0.4,750,FC-40,Plate-Fin,700.0,7.83,52.6,0.18757,160.42,0.569,7.64,7.4e-05,53313.2,COMPLETED_CONVERGED
DOE_Case_045,Baseline_OpenRatio_Reynolds,0.4,1000,FC-40,Plate-Fin,700.0,10.441,54.31,0.17366,149.65,0.957,8.35,0.000167,34573.1,COMPLETED_CONVERGED
DOE_Case_046,Baseline_OpenRatio_Reynolds,0.5,25,FC-40,Plate-Fin,700.0,0.261,40.0,0.3384,385.57,0.004,3.95,0.0,29551.0,COMPLETED_CONVERGED
DOE_Case_047,Baseline_OpenRatio_Reynolds,0.5,50,FC-40,Plate-Fin,700.0,0.522,40.0,0.3191,310.22,0.009,4.21,0.0,31337.8,COMPLETED_CONVERGED
DOE_Case_048,Baseline_OpenRatio_Reynolds,0.5,100,FC-40,Plate-Fin,700.0,1.044,44.52,0.29392,261.67,0.022,4.61,0.0,34022.9,COMPLETED_CONVERGED
DOE_Case_049,Baseline_OpenRatio_Reynolds,0.5,150,FC-40,Plate-Fin,700.0,1.566,47.17,0.27588,238.74,0.038,4.94,1e-06,36247.1,COMPLETED_CONVERGED
DOE_Case_050,Baseline_OpenRatio_Reynolds,0.5,250,FC-40,Plate-Fin,700.0,2.61,50.51,0.25062,212.8,0.081,5.5,4e-06,39900.7,COMPLETED_CONVERGED
DOE_Case_051,Baseline_OpenRatio_Reynolds,0.5,350,FC-40,Plate-Fin,700.0,3.654,52.71,0.23316,197.04,0.138,5.96,8e-06,42889.7,COMPLETED_CONVERGED
DOE_Case_052,Baseline_OpenRatio_Reynolds,0.5,500,FC-40,Plate-Fin,700.0,5.22,55.03,0.21458,181.39,0.25,6.55,2.2e-05,46602.3,COMPLETED_CONVERGED
DOE_Case_053,Baseline_OpenRatio_Reynolds,0.5,750,FC-40,Plate-Fin,700.0,7.83,57.68,0.1941,164.99,0.508,7.34,6.6e-05,51520.4,COMPLETED_CONVERGED
DOE_Case_054,Baseline_OpenRatio_Reynolds,0.5,1000,FC-40,Plate-Fin,700.0,10.441,59.56,0.18033,154.32,0.854,7.99,0.000149,37305.6,COMPLETED_CONVERGED
DOE_Case_055,Baseline_OpenRatio_Reynolds,0.6,25,FC-40,Plate-Fin,700.0,0.261,42.48,0.3393,386.2,0.004,3.94,0.0,29472.7,COMPLETED_CONVERGED
DOE_Case_056,Baseline_OpenRatio_Reynolds,0.6,50,FC-40,Plate-Fin,700.0,0.522,42.48,0.32055,311.23,0.008,4.19,0.0,31196.7,COMPLETED_CONVERGED
DOE_Case_057,Baseline_OpenRatio_Reynolds,0.6,100,FC-40,Plate-Fin,700.0,1.044,47.29,0.29631,263.34,0.019,4.57,0.0,33748.3,COMPLETED_CONVERGED
