case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_136,Fluid_Sensitivity,0.1,50,EFL-1,Plate-Fin,700.0,0.406,14.3,0.30136,306.48,0.009,4.31,0.0,33183.3,COMPLETED_CONVERGED
DOE_Case_137,Fluid_Sensitivity,0.1,250,EFL-1,Plate-Fin,700.0,2.029,18.05,0.22275,195.04,0.078,6.03,3e-06,44892.9,COMPLETED_CONVERGED
DOE_Case_138,Fluid_Sensitivity,0.1,750,EFL-1,Plate-Fin,700.0,6.086,20.62,0.16319,143.93,0.493,8.65,5e-05,61280.1,COMPLETED_CONVERGED
DOE_Case_139,Fluid_Sensitivity,0.2,50,EFL-1,Plate-Fin,700.0,0.406,24.37,0.30582,309.61,0.008,4.25,0.0,32698.6,COMPLETED_CONVERGED
DOE_Case_140,Fluid_Sensitivity,0.2,250,EFL-1,Plate-Fin,700.0,2.029,30.77,0.23257,201.91,0.069,5.75,2e-06,42997.9,COMPLETED_CONVERGED
DOE_Case_141,Fluid_Sensitivity,0.2,750,EFL-1,Plate-Fin,700.0,6.086,35.15,0.17368,151.28,0.437,8.03,4.4e-05,57578.7,COMPLETED_CONVERGED
DOE_Case_142,Fluid_Sensitivity,0.3,50,EFL-1,Plate-Fin,700.0,0.406,31.47,0.30912,311.92,0.007,4.2,0.0,32349.5,COMPLETED_CONVERGED
DOE_Case_143,Fluid_Sensitivity,0.3,250,EFL-1,Plate-Fin,700.0,2.029,39.74,0.24054,207.49,0.062,5.54,2e-06,41572.4,COMPLETED_CONVERGED
DOE_Case_144,Fluid_Sensitivity,0.3,750,EFL-1,Plate-Fin,700.0,6.086,45.38,0.18298,157.79,0.391,7.56,4e-05,54651.3,COMPLETED_CONVERGED
DOE_Case_145,Fluid_Sensitivity,0.4,50,EFL-1,Plate-Fin,700.0,0.406,36.47,0.31153,313.61,0.006,4.16,0.0,32099.5,COMPLETED_CONVERGED
DOE_Case_146,Fluid_Sensitivity,0.4,250,EFL-1,Plate-Fin,700.0,2.029,46.06,0.24681,211.88,0.056,5.38,2e-06,40516.4,COMPLETED_CONVERGED
DOE_Case_147,Fluid_Sensitivity,0.4,750,EFL-1,Plate-Fin,700.0,6.086,52.6,0.19088,163.32,0.35,7.2,3.5e-05,52390.0,COMPLETED_CONVERGED
DOE_Case_148,Fluid_Sensitivity,0.5,50,EFL-1,Plate-Fin,700.0,0.406,40.0,0.31327,314.82,0.006,4.14,0.0,31921.2,COMPLETED_CONVERGED
DOE_Case_149,Fluid_Sensitivity,0.5,250,EFL-1,Plate-Fin,700.0,2.029,50.51,0.25161,215.24,0.05,5.26,2e-06,39744.0,COMPLETED_CONVERGED
DOE_Case_150,Fluid_Sensitivity,0.5,750,EFL-1,Plate-Fin,700.0,6.086,57.68,0.19732,167.83,0.312,6.93,3.2e-05,50678.7,COMPLETED_CONVERGED
DOE_Case_151,Fluid_Sensitivity,0.6,50,EFL-1,Plate-Fin,700.0,0.406,42.48,0.31452,315.7,0.005,4.12,0.0,31794.5,COMPLETED_CONVERGED
DOE_Case_152,Fluid_Sensitivity,0.6,250,EFL-1,Plate-Fin,700.0,2.029,53.65,0.2552,217.75,0.044,5.18,1e-06,39184.4,COMPLETED_CONVERGED
DOE_Case_153,Fluid_Sensitivity,0.6,750,EFL-1,Plate-Fin,700.0,6.086,61.27,0.20241,171.39,0.277,6.73,2.8e-05,49405.5,COMPLETED_CONVERGED
DOE_Case_154,Fluid_Sensitivity,0.7,50,EFL-1,Plate-Fin,700.0,0.406,44.23,0.31541,316.32,0.004,4.1,0.0,31704.6,COMPLETED_CONVERGED
DOE_Case_155,Fluid_Sensitivity,0.7,250,EFL-1,Plate-Fin,700.0,2.029,55.86,0.25785,219.61,0.039,5.12,1e-06,38782.0,COMPLETED_CONVERGED
DOE_Case_156,Fluid_Sensitivity,0.7,750,EFL-1,Plate-Fin,700.0,6.086,63.79,0.20631,174.12,0.244,6.58,2.5e-05,48471.2,COMPLETED_CONVERGED
DOE_Case_157,Fluid_Sensitivity,0.8,50,EFL-1,Plate-Fin,700.0,0.406,45.47,0.31605,316.77,0.004,4.1,0.0,31641.1,COMPLETED_CONVERGED
DOE_Case_158,Fluid_Sensitivity,0.8,250,EFL-1,Plate-Fin,700.0,2.029,57.41,0.25978,220.96,0.034,5.08,1e-06,38494.3,COMPLETED_CONVERGED
DOE_Case_159,Fluid_Sensitivity,0.8,750,EFL-1,Plate-Fin,700.0,6.086,65.57,0.20924,176.17,0.213,6.48,2.2e-05,47792.8,COMPLETED_CONVERGED
DOE_Case_160,Fluid_Sensitivity,0.9,50,EFL-1,Plate-Fin,700.0,0.406,46.34,0.31649,317.08,0.003,4.09,0.0,31596.1,COMPLETED_CONVERGED
DOE_Case_161,Fluid_Sensitivity,0.9,250,EFL-1,Plate-Fin,700.0,2.029,58.51,0.26117,221.93,0.029,5.05,1e-06,38289.4,COMPLETED_CONVERGED
DOE_Case_162,Fluid_Sensitivity,0.9,750,EFL-1,Plate-Fin,700.0,6.086,66.82,0.2114,177.68,0.183,6.4,1.9e-05,47304.3,COMPLETED_CONVERGED
DOE_Case_163,Fluid_Sensitivity,1.0,50,EFL-1,Plate-Fin,700.0,0.406,46.95,0.31681,317.3,0.003,4.08,0.0,31564.4,COMPLETED_CONVERGED
DOE_Case_164,Fluid_Sensitivity,1.0,250,EFL-1,Plate-Fin,700.0,2.029,59.29,0.26217,222.63,0.024,5.03,1e-06,38143.9,COMPLETED_CONVERGED
DOE_Case_165,Fluid_Sensitivity,1.0,750,EFL-1,Plate-Fin,700.0,6.086,67.71,0.21297,178.78,0.154,6.35,1.6e-05,46954.6,COMPLETED_CONVERGED
DOE_Case_166,Topology_Sensitivity,0.0,100,FC-40,Micro-Pin-Fin,700.0,1.044,0.78,0.26345,240.34,0.041,5.2,1e-06,37958.4,COMPLETED_CONVERGED
DOE_Case_167,Topology_Sensitivity,0.0,500,FC-40,Micro-Pin-Fin,700.0,5.22,0.78,0.16927,149.67,0.473,8.61,4.1e-05,59077.2,COMPLETED_CONVERGED
DOE_Case_168,Topology_Sensitivity,0.1,100,FC-40,Micro-Pin-Fin,700.0,1.044,15.91,0.27267,246.79,0.034,5.01,1e-06,36674.0,COMPLETED_CONVERGED
DOE_Case_169,Topology_Sensitivity,0.1,500,FC-40,Micro-Pin-Fin,700.0,5.22,19.67,0.18071,157.68,0.395,7.98,3.4e-05,55337.6,COMPLETED_CONVERGED
DOE_Case_170,Topology_Sensitivity,0.2,100,FC-40,Micro-Pin-Fin,700.0,1.044,27.13,0.28033,252.15,0.03,4.86,1e-06,35672.9,COMPLETED_CONVERGED
DOE_Case_171,Topology_Sensitivity,0.2,500,FC-40,Micro-Pin-Fin,700.0,5.22,33.53,0.19143,165.19,0.35,7.46,3e-05,52237.3,COMPLETED_CONVERGED
DOE_Case_172,Topology_Sensitivity,0.3,100,FC-40,Micro-Pin-Fin,700.0,1.044,35.03,0.28621,256.27,0.027,4.75,0.0,34939.0,COMPLETED_CONVERGED
DOE_Case_173,Topology_Sensitivity,0.3,500,FC-40,Micro-Pin-Fin,700.0,5.22,43.3,0.20071,171.68,0.313,7.06,2.7e-05,49822.2,COMPLETED_CONVERGED
DOE_Case_174,Topology_Sensitivity,0.4,100,FC-40,Micro-Pin-Fin,700.0,1.044,40.6,0.29064,259.37,0.024,4.67,0.0,34406.4,COMPLETED_CONVERGED
DOE_Case_175,Topology_Sensitivity,0.4,500,FC-40,Micro-Pin-Fin,700.0,5.22,50.18,0.20842,177.08,0.28,6.77,2.4e-05,47980.8,COMPLETED_CONVERGED
DOE_Case_176,Topology_Sensitivity,0.5,100,FC-40,Micro-Pin-Fin,700.0,1.044,44.52,0.29392,261.67,0.022,4.61,0.0,34022.9,COMPLETED_CONVERGED
DOE_Case_177,Topology_Sensitivity,0.5,500,FC-40,Micro-Pin-Fin,700.0,5.22,55.03,0.21458,181.39,0.25,6.55,2.2e-05,46602.3,COMPLETED_CONVERGED
DOE_Case_178,Topology_Sensitivity,0.6,100,FC-40,Micro-Pin-Fin,700.0,1.044,47.29,0.29631,263.34,0.019,4.57,0.0,33748.3,COMPLETED_CONVERGED
DOE_Case_179,Topology_Sensitivity,0.6,500,FC-40,Micro-Pin-Fin,700.0,5.22,58.45,0.21937,184.74,0.222,6.38,1.9e-05,45585.6,COMPLETED_CONVERGED
DOE_Case_180,Topology_Sensitivity,0.7,100,FC-40,Micro-Pin-Fin,700.0,1.044,49.24,0.29804,264.55,0.017,4.54,0.0,33552.6,COMPLETED_CONVERGED
DOE_Case_181,Topology_Sensitivity,0.7,500,FC-40,Micro-Pin-Fin,700.0,5.22,60.86,0.22299,187.28,0.195,6.27,1.7e-05,44844.6,COMPLETED_CONVERGED
DOE_Case_182,Topology_Sensitivity,0.8,100,FC-40,Micro-Pin-Fin,700.0,1.044,50.61,0.29928,265.42,0.015,4.52,0.0,33413.5,COMPLETED_CONVERGED
DOE_Case_183,Topology_Sensitivity,0.8,500,FC-40,Micro-Pin-Fin,700.0,5.22,62.56,0.22569,189.16,0.17,6.18,1.5e-05,44309.3,COMPLETED_CONVERGED
DOE_Case_184,Topology_Sensitivity,0.9,100,FC-40,Micro-Pin-Fin,700.0,1.044,51.58,0.30017,266.04,0.013,4.5,0.0,33314.9,COMPLETED_CONVERGED
DOE_Case_185,Topology_Sensitivity,0.9,500,FC-40,Micro-Pin-Fin,700.0,5.22,63.76,0.22766,190.55,0.146,6.12,1.3e-05,43925.3,COMPLETED_CONVERGED
DOE_Case_186,Topology_Sensitivity,1.0,100,FC-40,Micro-Pin-Fin,700.0,1.044,52.26,0.3008,266.48,0.011,4.49,0.0,33245.2,COMPLETED_CONVERGED
DOE_Case_187,Topology_Sensitivity,1.0,500,FC-40,Micro-Pin-Fin,700.0,5.22,64.6,0.22909,191.55,0.123,6.08,1.1e-05,43651.2,COMPLETED_CONVERGED
DOE_Case_188,Topology_Sensitivity,0.0,100,FC-40,Oblique-Fin,700.0,1.044,0.78,0.26345,240.34,0.041,5.2,1e-06,37958.4,COMPLETED_CONVERGED
DOE_Case_189,Topology_Sensitivity,0.0,500,FC-40,Oblique-Fin,700.0,5.22,0.78,0.16927,149.67,0.473,8.61,4.1e-05,59077.2,COMPLETED_CONVERGED
DOE_Case_190,Topology_Sensitivity,0.1,100,FC-40,Oblique-Fin,700.0,1.044,15.91,0.27267,246.79,0.034,5.01,1e-06,36674.0,COMPLETED_CONVERGED
DOE_Case_191,Topology_Sensitivity,0.1,500,FC-40,Oblique-Fin,700.0,5.22,19.67,0.18071,157.68,0.395,7.98,3.4e-05,55337.6,COMPLETED_CONVERGED
DOE_Case_192,Topology_Sensitivity,0.2,100,FC-40,Oblique-Fin,700.0,1.044,27.13,0.28033,252.15,0.03,4.86,1e-06,35672.9,COMPLETED_CONVERGED
DOE_Case_193,Topology_Sensitivity,0.2,500,FC-40,Oblique-Fin,700.0,5.22,33.53,0.19143,165.19,0.35,7.46,3e-05,52237.3,COMPLETED_CONVERGED
DOE_Case_194,Topology_Sensitivity,0.3,100,FC-40,Oblique-Fin,700.0,1.044,35.03,0.28621,256.27,0.027,4.75,0.0,34939.0,COMPLETED_CONVERGED
DOE_Case_195,Topology_Sensitivity,0.3,500,FC-40,Oblique-Fin,700.0,5.22,43.3,0.20071,171.68,0.313,7.06,2.7e-05,49822.2,COMPLETED_CONVERGED
DOE_Case_196,Topology_Sensitivity,0.4,100,FC-40,Oblique-Fin,700.0,1.044,40.6,0.29064,259.37,0.024,4.67,0.0,34406.4,COMPLETED_CONVERGED
DOE_Case_197,Topology_Sensitivity,0.4,500,FC-40,Oblique-Fin,700.0,5.22,50.18,0.20842,177.08,0.28,6.77,2.4e-05,47980.8,COMPLETED_CONVERGED
DOE_Case_198,Topology_Sensitivity,0.5,100,FC-40,Oblique-Fin,700.0,1.044,44.52,0.29392,261.67,0.022,4.61,0.0,34022.9,COMPLETED_CONVERGED
DOE_Case_199,Topology_Sensitivity,0.5,500,FC-40,Oblique-Fin,700.0,5.22,55.03,0.21458,181.39,0.25,6.55,2.2e-05,46602.3,COMPLETED_CONVERGED
DOE_Case_200,Topology_Sensitivity,0.6,100,FC-40,Oblique-Fin,700.0,1.044,47.29,0.29631,263.34,0.019,4.57,0.0,33748.3,COMPLETED_CONVERGED
DOE_Case_201,Topology_Sensitivity,0.6,500,FC-40,Oblique-Fin,700.0,5.22,58.45,0.21937,184.74,0.222,6.38,1.9e-05,45585.6,COMPLETED_CONVERGED
DOE_Case_202,Topology_Sensitivity,0.7,100,FC-40,Oblique-Fin,700.0,1.044,49.24,0.29804,264.55,0.017,4.54,0.0,33552.6,COMPLETED_CONVERGED
DOE_Case_203,Topology_Sensitivity,0.7,500,FC-40,Oblique-Fin,700.0,5.22,60.86,0.22299,187.28,0.195,6.27,1.7e-05,44844.6,COMPLETED_CONVERGED
DOE_Case_204,Topology_Sensitivity,0.8,100,FC-40,Oblique-Fin,700.0,1.044,50.61,0.29928,265.42,0.015,4.52,0.0,33413.5,COMPLETED_CONVERGED
DOE_Case_205,Topology_Sensitivity,0.8,500,FC-40,Oblique-Fin,700.0,5.22,62.56,0.22569,189.16,0.17,6.18,1.5e-05,44309.3,COMPLETED_CONVERGED
DOE_Case_206,Topology_Sensitivity,0.9,100,FC-40,Oblique-Fin,700.0,1.044,51.58,0.30017,266.04,0.013,4.5,0.0,33314.9,COMPLETED_CONVERGED
DOE_Case_207,Topology_Sensitivity,0.9,500,FC-40,Oblique-Fin,700.0,5.22,63.76,0.22766,190.55,0.146,6.12,1.3e-05,43925.3,COMPLETED_CONVERGED
DOE_Case_208,Topology_Sensitivity,1.0,100,FC-40,Oblique-Fin,700.0,1.044,52.26,0.3008,266.48,0.011,4.49,0.0,33245.2,COMPLETED_CONVERGED
DOE_Case_209,Topology_Sensitivity,1.0,500,FC-40,Oblique-Fin,700.0,5.22,64.6,0.22909,191.55,0.123,6.08,1.1e-05,43651.2,COMPLETED_CONVERGED
DOE_Case_210,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,300.0,2.61,0.78,0.20866,92.9,0.153,6.76,7e-06,47924.7,COMPLETED_CONVERGED
DOE_Case_211,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,300.0,2.61,35.65,0.23488,100.76,0.107,5.91,5e-06,42574.8,COMPLETED_CONVERGED
DOE_Case_212,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,300.0,2.61,50.51,0.25062,105.49,0.081,5.5,4e-06,39900.7,COMPLETED_CONVERGED
DOE_Case_213,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,300.0,2.61,56.7,0.25845,107.83,0.059,5.31,3e-06,38692.8,COMPLETED_CONVERGED
DOE_Case_214,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,300.0,2.61,59.29,0.26198,108.9,0.04,5.23,2e-06,38170.5,COMPLETED_CONVERGED
DOE_Case_215,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,500.0,2.61,0.78,0.20866,138.16,0.153,6.76,7e-06,47924.7,COMPLETED_CONVERGED
DOE_Case_216,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,500.0,2.61,35.65,0.23488,151.27,0.107,5.91,5e-06,42574.8,COMPLETED_CONVERGED
DOE_Case_217,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,500.0,2.61,50.51,0.25062,159.15,0.081,5.5,4e-06,39900.7,COMPLETED_CONVERGED
DOE_Case_218,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,500.0,2.61,56.7,0.25845,163.06,0.059,5.31,3e-06,38692.8,COMPLETED_CONVERGED
DOE_Case_219,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,500.0,2.61,59.29,0.26198,164.83,0.04,5.23,2e-06,38170.5,COMPLETED_CONVERGED
DOE_Case_220,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,850.0,2.61,0.78,0.20866,217.38,0.153,6.76,7e-06,47924.7,COMPLETED_CONVERGED
DOE_Case_221,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,850.0,2.61,35.65,0.23488,239.67,0.107,5.91,5e-06,42574.8,COMPLETED_CONVERGED
DOE_Case_222,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,850.0,2.61,50.51,0.25062,253.05,0.081,5.5,4e-06,39900.7,COMPLETED_CONVERGED
DOE_Case_223,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,850.0,2.61,56.7,0.25845,259.7,0.059,5.31,3e-06,38692.8,COMPLETED_CONVERGED
DOE_Case_224,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,850.0,2.61,59.29,0.26198,262.7,0.04,5.23,2e-06,38170.5,COMPLETED_CONVERGED
DOE_Case_225,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,1000.0,2.61,0.78,0.20866,251.33,0.153,6.76,7e-06,47924.7,COMPLETED_CONVERGED
DOE_Case_226,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,1000.0,2.61,35.65,0.23488,277.55,0.107,5.91,5e-06,42574.8,COMPLETED_CONVERGED
DOE_Case_227,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,1000.0,2.61,50.51,0.25062,293.29,0.081,5.5,4e-06,39900.7,COMPLETED_CONVERGED
DOE_Case_228,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,1000.0,2.61,56.7,0.25845,301.11,0.059,5.31,3e-06,38692.8,COMPLETED_CONVERGED
DOE_Case_229,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,1000.0,2.61,59.29,0.26198,304.65,0.04,5.23,2e-06,38170.5,COMPLETED_CONVERGED
DOE_Case_230,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,1200.0,2.61,0.78,0.20866,296.59,0.153,6.76,7e-06,47924.7,COMPLETED_CONVERGED
DOE_Case_231,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,1200.0,2.61,35.65,0.23488,328.06,0.107,5.91,5e-06,42574.8,COMPLETED_CONVERGED
DOE_Case_232,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,1200.0,2.61,50.51,0.25062,346.95,0.081,5.5,4e-06,39900.7,COMPLETED_CONVERGED
DOE_Case_233,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,1200.0,2.61,56.7,0.25845,356.34,0.059,5.31,3e-06,38692.8,COMPLETED_CONVERGED
DOE_Case_234,ThermalLoad_Sensitivity,1.0,250,FC-40,Plate-Fin,1200.0,2.61,59.29,0.26198,360.58,0.04,5.23,2e-06,38170.5,COMPLETED_CONVERGED
DOE_Case_235,OutOfSample_Validation,0.15,75,FC-40,Plate-Fin,700.0,0.783,21.08,0.29082,269.8,0.022,4.66,0.0,34385.9,COMPLETED_CONVERGED
DOE_Case_236,OutOfSample_Validation,0.35,175,FC-40,Plate-Fin,700.0,1.827,41.18,0.26135,225.62,0.056,5.25,2e-06,38262.7,COMPLETED_CONVERGED
DOE_Case_237,OutOfSample_Validation,0.65,350,FC-40,Plate-Fin,700.0,3.654,57.23,0.23924,201.3,0.115,5.79,7e-06,41798.5,COMPLETED_CONVERGED
DOE_Case_238,OutOfSample_Validation,0.85,600,FC-40,Plate-Fin,700.0,6.264,64.58,0.21798,182.74,0.217,6.43,2.3e-05,45875.2,COMPLETED_CONVERGED
DOE_Case_239,OutOfSample_Validation,0.25,125,PAO-4,Plate-Fin,700.0,12.355,32.45,0.10146,98.93,1.487,7.43,0.000306,32192.1,COMPLETED_CONVERGED
DOE_Case_240,OutOfSample_Validation,0.75,400,PAO-4,Plate-Fin,700.0,39.535,60.15,0.08567,85.88,4.816,9.36,0.003173,3678.2,COMPLETED_CONVERGED
DOE_Case_241,OutOfSample_Validation,0.15,150,EFL-1,Plate-Fin,700.0,1.217,23.32,0.25561,227.44,0.034,5.17,1e-06,39122.3,COMPLETED_CONVERGED
DOE_Case_242,OutOfSample_Validation,0.65,500,EFL-1,Plate-Fin,700.0,4.057,59.76,0.22381,188.72,0.128,6.0,9e-06,44680.6,COMPLETED_CONVERGED
DOE_Case_243,OutOfSample_Validation,0.35,200,FC-40,Micro-Pin-Fin,700.0,2.088,41.93,0.25435,218.51,0.068,5.41,2e-06,39315.4,COMPLETED_CONVERGED
DOE_Case_244,OutOfSample_Validation,0.75,350,FC-40,Micro-Pin-Fin,700.0,3.654,59.17,0.24203,203.26,0.101,5.72,6e-06,41316.8,COMPLETED_CONVERGED
DOE_Case_245,OutOfSample_Validation,0.25,200,FC-40,Oblique-Fin,700.0,2.088,34.62,0.24735,213.61,0.076,5.58,3e-06,40428.3,COMPLETED_CONVERGED
DOE_Case_246,OutOfSample_Validation,0.85,450,FC-40,Oblique-Fin,700.0,4.698,62.42,0.23186,194.17,0.132,6.0,1e-05,43129.7,COMPLETED_CONVERGED
DOE_Case_247,OutOfSample_Validation,0.5,300,FC-40,Plate-Fin,400.0,3.132,51.7,0.2412,127.37,0.107,5.74,6e-06,41459.9,COMPLETED_CONVERGED
DOE_Case_248,OutOfSample_Validation,0.5,300,FC-40,Plate-Fin,600.0,3.132,51.7,0.2412,178.55,0.107,5.74,6e-06,41459.9,COMPLETED_CONVERGED
DOE_Case_249,OutOfSample_Validation,0.5,300,FC-40,Plate-Fin,800.0,3.132,51.7,0.2412,229.74,0.107,5.74,6e-06,41459.9,COMPLETED_CONVERGED
DOE_Case_250,OutOfSample_Validation,0.5,300,FC-40,Plate-Fin,950.0,3.132,51.7,0.2412,268.12,0.107,5.74,6e-06,41459.9,COMPLETED_CONVERGED
