# Region type : patch inlet
# Faces        : 3300
# Area         : 6.2230000e-03
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
25             	5.2139203e-05
50             	4.2254687e-05
75             	3.9209722e-05
100            	3.7638399e-05
125            	3.6701000e-05
150            	3.6112948e-05
175            	3.5745472e-05
200            	3.5526668e-05
225            	3.5402584e-05
250            	3.5333226e-05
275            	3.5295863e-05
300            	3.5279826e-05
325            	3.5282832e-05
350            	3.5301333e-05
