# Region type : patch inlet
# Faces        : 3300
# Area         : 6.2230000e-03
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
25             	1.5087720e-05
50             	1.2085102e-05
75             	1.1106448e-05
100            	1.0589261e-05
125            	1.0286923e-05
150            	1.0100357e-05
175            	9.9809658e-06
200            	9.9023848e-06
225            	9.8495518e-06
250            	9.8134343e-06
275            	9.7884274e-06
300            	9.7709425e-06
325            	9.7586349e-06
350            	9.7499348e-06
