case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_047,Baseline_OpenRatio_Reynolds,0.5,50,FC-40,Plate-Fin,700.0,0.522,,,,,,,,PENDING
DOE_Case_048,Baseline_OpenRatio_Reynolds,0.5,100,FC-40,Plate-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_049,Baseline_OpenRatio_Reynolds,0.5,150,FC-40,Plate-Fin,700.0,1.566,,,,,,,,PENDING
DOE_Case_050,Baseline_OpenRatio_Reynolds,0.5,250,FC-40,Plate-Fin,700.0,2.61,,,,,,,,PENDING
DOE_Case_051,Baseline_OpenRatio_Reynolds,0.5,350,FC-40,Plate-Fin,700.0,3.654,,,,,,,,PENDING
DOE_Case_052,Baseline_OpenRatio_Reynolds,0.5,500,FC-40,Plate-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_053,Baseline_OpenRatio_Reynolds,0.5,750,FC-40,Plate-Fin,700.0,7.83,,,,,,,,PENDING
DOE_Case_054,Baseline_OpenRatio_Reynolds,0.5,1000,FC-40,Plate-Fin,700.0,10.441,,,,,,,,PENDING
DOE_Case_055,Baseline_OpenRatio_Reynolds,0.6,25,FC-40,Plate-Fin,700.0,0.261,,,,,,,,PENDING
DOE_Case_056,Baseline_OpenRatio_Reynolds,0.6,50,FC-40,Plate-Fin,700.0,0.522,,,,,,,,PENDING
DOE_Case_057,Baseline_OpenRatio_Reynolds,0.6,100,FC-40,Plate-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_058,Baseline_OpenRatio_Reynolds,0.6,150,FC-40,Plate-Fin,700.0,1.566,,,,,,,,PENDING
DOE_Case_059,Baseline_OpenRatio_Reynolds,0.6,250,FC-40,Plate-Fin,700.0,2.61,,,,,,,,PENDING
DOE_Case_060,Baseline_OpenRatio_Reynolds,0.6,350,FC-40,Plate-Fin,700.0,3.654,,,,,,,,PENDING
DOE_Case_061,Baseline_OpenRatio_Reynolds,0.6,500,FC-40,Plate-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_062,Baseline_OpenRatio_Reynolds,0.6,750,FC-40,Plate-Fin,700.0,7.83,,,,,,,,PENDING
DOE_Case_063,Baseline_OpenRatio_Reynolds,0.6,1000,FC-40,Plate-Fin,700.0,10.441,,,,,,,,PENDING
DOE_Case_064,Baseline_OpenRatio_Reynolds,0.7,25,FC-40,Plate-Fin,700.0,0.261,,,,,,,,PENDING
DOE_Case_065,Baseline_OpenRatio_Reynolds,0.7,50,FC-40,Plate-Fin,700.0,0.522,,,,,,,,PENDING
DOE_Case_066,Baseline_OpenRatio_Reynolds,0.7,100,FC-40,Plate-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_067,Baseline_OpenRatio_Reynolds,0.7,150,FC-40,Plate-Fin,700.0,1.566,,,,,,,,PENDING
DOE_Case_068,Baseline_OpenRatio_Reynolds,0.7,250,FC-40,Plate-Fin,700.0,2.61,,,,,,,,PENDING
DOE_Case_069,Baseline_OpenRatio_Reynolds,0.7,350,FC-40,Plate-Fin,700.0,3.654,,,,,,,,PENDING
DOE_Case_070,Baseline_OpenRatio_Reynolds,0.7,500,FC-40,Plate-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_071,Baseline_OpenRatio_Reynolds,0.7,750,FC-40,Plate-Fin,700.0,7.83,,,,,,,,PENDING
DOE_Case_072,Baseline_OpenRatio_Reynolds,0.7,1000,FC-40,Plate-Fin,700.0,10.441,,,,,,,,PENDING
DOE_Case_073,Baseline_OpenRatio_Reynolds,0.8,25,FC-40,Plate-Fin,700.0,0.261,,,,,,,,PENDING
DOE_Case_074,Baseline_OpenRatio_Reynolds,0.8,50,FC-40,Plate-Fin,700.0,0.522,,,,,,,,PENDING
DOE_Case_075,Baseline_OpenRatio_Reynolds,0.8,100,FC-40,Plate-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_076,Baseline_OpenRatio_Reynolds,0.8,150,FC-40,Plate-Fin,700.0,1.566,,,,,,,,PENDING
DOE_Case_077,Baseline_OpenRatio_Reynolds,0.8,250,FC-40,Plate-Fin,700.0,2.61,,,,,,,,PENDING
DOE_Case_078,Baseline_OpenRatio_Reynolds,0.8,350,FC-40,Plate-Fin,700.0,3.654,,,,,,,,PENDING
DOE_Case_079,Baseline_OpenRatio_Reynolds,0.8,500,FC-40,Plate-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_080,Baseline_OpenRatio_Reynolds,0.8,750,FC-40,Plate-Fin,700.0,7.83,,,,,,,,PENDING
DOE_Case_081,Baseline_OpenRatio_Reynolds,0.8,1000,FC-40,Plate-Fin,700.0,10.441,,,,,,,,PENDING
DOE_Case_082,Baseline_OpenRatio_Reynolds,0.9,25,FC-40,Plate-Fin,700.0,0.261,,,,,,,,PENDING
DOE_Case_083,Baseline_OpenRatio_Reynolds,0.9,50,FC-40,Plate-Fin,700.0,0.522,,,,,,,,PENDING
DOE_Case_084,Baseline_OpenRatio_Reynolds,0.9,100,FC-40,Plate-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_085,Baseline_OpenRatio_Reynolds,0.9,150,FC-40,Plate-Fin,700.0,1.566,,,,,,,,PENDING
DOE_Case_086,Baseline_OpenRatio_Reynolds,0.9,250,FC-40,Plate-Fin,700.0,2.61,,,,,,,,PENDING
DOE_Case_087,Baseline_OpenRatio_Reynolds,0.9,350,FC-40,Plate-Fin,700.0,3.654,,,,,,,,PENDING
DOE_Case_088,Baseline_OpenRatio_Reynolds,0.9,500,FC-40,Plate-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_089,Baseline_OpenRatio_Reynolds,0.9,750,FC-40,Plate-Fin,700.0,7.83,,,,,,,,PENDING
DOE_Case_090,Baseline_OpenRatio_Reynolds,0.9,1000,FC-40,Plate-Fin,700.0,10.441,,,,,,,,PENDING
DOE_Case_091,Baseline_OpenRatio_Reynolds,1.0,25,FC-40,Plate-Fin,700.0,0.261,,,,,,,,PENDING
DOE_Case_092,Baseline_OpenRatio_Reynolds,1.0,50,FC-40,Plate-Fin,700.0,0.522,,,,,,,,PENDING
DOE_Case_093,Baseline_OpenRatio_Reynolds,1.0,100,FC-40,Plate-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_094,Baseline_OpenRatio_Reynolds,1.0,150,FC-40,Plate-Fin,700.0,1.566,,,,,,,,PENDING
DOE_Case_095,Baseline_OpenRatio_Reynolds,1.0,250,FC-40,Plate-Fin,700.0,2.61,,,,,,,,PENDING
DOE_Case_096,Baseline_OpenRatio_Reynolds,1.0,350,FC-40,Plate-Fin,700.0,3.654,,,,,,,,PENDING
DOE_Case_097,Baseline_OpenRatio_Reynolds,1.0,500,FC-40,Plate-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_098,Baseline_OpenRatio_Reynolds,1.0,750,FC-40,Plate-Fin,700.0,7.83,,,,,,,,PENDING
DOE_Case_099,Baseline_OpenRatio_Reynolds,1.0,1000,FC-40,Plate-Fin,700.0,10.441,,,,,,,,PENDING
DOE_Case_100,Fluid_Sensitivity,0.0,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_101,Fluid_Sensitivity,0.0,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_102,Fluid_Sensitivity,0.0,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_103,Fluid_Sensitivity,0.1,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_104,Fluid_Sensitivity,0.1,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_105,Fluid_Sensitivity,0.1,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_106,Fluid_Sensitivity,0.2,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_107,Fluid_Sensitivity,0.2,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_108,Fluid_Sensitivity,0.2,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_109,Fluid_Sensitivity,0.3,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
