# Region type : patch inlet
# Faces        : 3300
# Area         : 6.2230000e-03
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
25             	3.2566700e-05
50             	2.6261943e-05
75             	2.4270183e-05
100            	2.3232766e-05
125            	2.2618447e-05
150            	2.2229027e-05
175            	2.1976042e-05
200            	2.1811968e-05
225            	2.1707739e-05
250            	2.1643576e-05
275            	2.1604986e-05
300            	2.1581936e-05
325            	2.1568381e-05
350            	2.1560887e-05
